name;year;genre;director;cast;rating;votes
#Gadhvi (He thought he was Gandhi);2019;*Drama*;Gaurav Bakshi;*Rasika Dugal,Vivek Ghamande,Arvind Jangid*;7;8
Homecoming;2021;*Drama, Musical*;Soumyajit Majumdar;*Sayani Gupta,Plabita Borthakur,Roy Angana*;;
#Yaaram;2019;*Comedy, Romance*;Ovais Khan;*Prateik,Ishita Raj,Siddhant Kapoor*;4.4;35
...And Once Again;2010;*Drama*;Amol Palekar;*Rajat Kapoor,Rituparna Sengupta,Antara Mali*;;
...Aur Pyaar Ho Gaya;1997;*Comedy, Drama, Musical*;Rahul Rawail;*Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor*;4.7;827
...Yahaan;2005;*Drama, Romance, War*;Shoojit Sircar;*Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma*;7.4;"1;086"
.in for Motion;2008;*Documentary*;Anirban Datta;*,,*;;
?: A Question Mark;2012;*Horror, Mystery, Thriller*;Allyson Patel;*Yash Dave,Muntazir Ahmad,Kiran Bhatia*;5.6;326
Homecoming;2014;*Action, Crime, Thriller*;Biju Bhaskar Nair;*Augustine,Fathima Babu,Byon*;4;11
1:1.6 An Ode to Lost Love;2004;*Drama*;Madhu Ambat;*Rati Agnihotri,Gulshan Grover,Atul Kulkarni*;6.2;17
1:13:7 Ek Tera Saath;2016;*Horror*;Arshad Siddiqui;*Pankaj Berry,Anubhav Dhir,Hritu Dudani*;5.9;59
100 Days;1991;*Horror, Romance, Thriller*;Partho Ghosh;*Jackie Shroff,Madhuri Dixit,Javed Jaffrey*;6.5;983
100% Love;2012;*Comedy, Drama, Romance*;Rabi Kinagi;*Jeet,Koyel Mallick,Sujoy Ghosh*;5.7;512
101 Ratein;1990;*Thriller*;Harish;*Saraswati,Disco Shanti,*;;
102 Not Out;2018;*Comedy, Drama*;Umesh Shukla;*Amitabh Bachchan,Rishi Kapoor,Vijay Raaz*;7.4;"6;619"
108 Limited;;**;Anand Anddy;*Vijay Raaz,Sanjay Mishra,Brahmanandam*;;
108 Teerthyatra;1987;*Comedy, Drama, Fantasy*;Rajpati;*Pravin Anand,Nayan Bhatt,Jeetu*;;
10ml LOVE;2010;*Comedy, Drama, Romance*;Sharat Katariya;*Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha*;6.3;162
11 O'Clock;1948;**;Homi Wadia;*Aftab,Sayani Atish,Austin Ki Bachchi*;;
12 Bulbule;2021;*Comedy, Drama, Family*;Jagat Joon;*Sonu Sonkar,Sunita Verman,Anubhav Dixit*;;
12 O'Clock;1958;*Crime, Drama, Mystery*;Pramod Chakravorty;*Guru Dutt,Waheeda Rehman,Shashikala*;7.2;72
12 O'Clock;2021;*Horror, Thriller*;Ram Gopal Varma;*Mithun Chakraborty,Makrand Deshpande,Dalip Tahil*;4.4;63
12 Years;;*Biography*;Sohail Tatari;*,,*;;
124a;2021;*Documentary*;Varrun Sukhraj;*,,*;;
127 B;2017;*Comedy, Horror*;Seshu Kmr;*Mast Ali,Aziz Naser,Heena Shaik*;6.6;26
13 May Gulaabi Nagar;2010;*Action*;N.K. Pareek;*Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma*;;
13 Tribute of Love;2020;*Drama*;Rahul Tiwari;*Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt*;;
13B: Fear Has a New Address;2009;*Drama, Horror, Mystery*;Vikram K. Kumar;*Madhavan,Neetu Chandra,Poonam Dhillon*;7.3;"6;329"
14 Phere;2021;*Comedy*;Devanshu Singh;*Vikrant Massey,Kriti Kharbanda,Gauahar Khan*;;
15 Park Avenue;2005;*Drama*;Aparna Sen;*Shabana Azmi,Konkona Sen Sharma,Rahul Bose*;7.1;"1;002"
150 Seconds Ago;2002;**;Batul Mukhtiar;*,,*;;
15th August;1993;*Drama*;Vicky Ranawat;*Ronit Roy,Tisca Chopra,Shakti Kapoor*;5.6;15
16-Dec;2002;*Action, Thriller*;Mani Shankar;*Milind Soman,Danny Denzongpa,Gulshan Grover*;6.9;"1;235"
18.11;2014;*Action*;Mohibul Haque;*Rehal Khan,Gulshan Grover,Mukesh Tiwari*;3.5;10
1857;1946;*Drama, History*;Mohan Sinha;*Nigar Sultana,Suraiya,Menaka Devi*;5;8
19 Revolutions;2004;*Drama*;Sridhar Reddy;*Tarun Arora,Gulshan Grover,Vinay Pandey*;4.5;16
1911;;*Drama, History, Sport*;Nikkhil Advani;*John Abraham,,*;;
1920;2008;*Horror, Mystery, Romance*;Vikram Bhatt;*Rajniesh Duggall,Adah Sharma,Anjori Alagh*;6.4;"3;100"
1920 London;2016;*Horror, Mystery*;Dharmendra Suresh Desai;*Sharman Joshi,Meera Chopra,Vishal Karwal*;4.1;"1;559"
1920: Evil Returns;2012;*Drama, Horror, Romance*;Bhushan Patel;*Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan*;4.8;"1;811"
1921;2018;*Horror, Mystery, Romance*;Vikram Bhatt;*Zareen Khan,Karan Kundra,Vikram Bhatt*;4.5;"1;069"
1942: A Love Story;1994;*Action, Drama, History*;Vidhu Vinod Chopra;*Anil Kapoor,Jackie Shroff,Manisha Koirala*;7.2;"3;223"
1971;2007;*Action, Drama, War*;Amrit Sagar;*Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal*;8.1;"1;892"
1978: A Teen Night Out;2019;*Thriller*;Aziz Zee;*Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam*;4;20
